case_id,scenario,mlog_shard,batch_size,txn_mode,rate,tps,rows_s,avg_lat_ms,p99_lat_ms,max_lat_ms,cv,overhead_pct,status,tidb_cpu_pct,tikv_cpu_pct,prewrite_per_s,commit_per_s,disk_mb_per_s,disk_kb_per_row
1,baseline,-,1,pessimistic,18000,17995.45,17995.45,3.76,5.37,424.40,0.0021,,PASS,37.0,37.1,35345,34727,188.1,10.70
2,index,-,1,pessimistic,18000,18000.35,18000.35,3.96,5.88,494.92,0.0027,0.03,PASS,42.4,48.0,50530,50323,330.4,18.80
3,mlog,noshard,1,pessimistic,18000,17992.60,17992.60,3.97,6.21,479.40,0.0026,-0.02,PASS,44.6,45.9,53323,53321,267.3,15.21
