case_id,scenario,mlog_shard,batch_size,txn_mode,rate,tps,rows_s,avg_lat_ms,p99_lat_ms,max_lat_ms,cv,overhead_pct,status,tidb_cpu_pct,tikv_cpu_pct,prewrite_per_s,commit_per_s,disk_mb_per_s,disk_kb_per_row
1,baseline,-,1,pessimistic,0,29828.86,29828.86,4.29,6.91,156.71,0.0435,,PASS,58.1,46.6,58444,57318,291.7,10.01
2,index,-,1,pessimistic,0,25709.17,25709.17,4.98,7.98,92.80,0.0665,-13.81,PASS,53.9,49.1,60870,59086,423.3,16.86
3,mlog,shard,1,pessimistic,0,24588.75,24588.75,5.20,8.43,178.70,0.0232,-17.57,PASS,58.0,56.9,72585,72584,355.3,14.80
4,baseline,-,1,pessimistic,18000,17999.46,17999.46,3.29,4.82,453.20,0.0024,,PASS,36.6,35.0,34854,33725,197.7,11.25
5,index,-,1,pessimistic,18000,18002.47,18002.47,4.17,6.32,135.57,0.0018,0.02,PASS,40.6,41.0,47894,47516,308.8,17.57
6,mlog,shard,1,pessimistic,18000,18005.84,18005.84,4.12,6.67,427.59,0.0021,0.04,PASS,44.7,48.6,52802,52801,267.2,15.20
