case_id,scenario,mlog_shard,batch_size,txn_mode,rate,tps,rows_s,avg_lat_ms,p99_lat_ms,max_lat_ms,cv,overhead_pct,status,tidb_cpu_pct,tikv_cpu_pct,prewrite_per_s,commit_per_s,disk_mb_per_s,disk_kb_per_row
1,baseline,-,1,optimistic,0,7095.06,7095.06,18.04,37.56,520.63,0.0115,,PASS,30.6,64.3,155577,155574,279.7,40.37
2,mlog,shard,1,optimistic,0,6783.27,6783.27,18.87,38.25,474.85,0.0152,-4.39,PASS,30.4,68.8,155577,155572,330.5,49.88
3,mlog,noshard,1,optimistic,0,6703.28,6703.28,19.09,39.65,447.97,0.0398,-5.52,PASS,30.4,67.1,153684,153678,322.4,49.25
4,baseline,-,10,optimistic,0,1098.15,10981.50,116.55,176.73,608.24,0.0216,,PASS,12.7,51.4,37592,37591,445.3,41.51
5,mlog,shard,10,optimistic,0,1057.40,10574.00,121.04,183.21,597.28,0.0275,-3.71,PASS,12.5,54.2,35950,35951,474.3,45.92
6,baseline,-,1,pessimistic,0,6645.71,6645.71,19.26,36.89,82.73,0.0180,,PASS,30.6,67.1,145687,145683,321.9,49.59
7,mlog,shard,1,pessimistic,0,6321.95,6321.95,20.25,38.25,348.77,0.0208,-4.87,PASS,30.7,67.5,144954,144950,314.1,50.88
8,baseline,-,1,optimistic,4000,4002.16,4002.16,5.12,16.12,385.16,0.0047,,PASS,21.0,53.5,87670,87669,192.5,49.24
9,mlog,shard,1,optimistic,4000,3994.96,3994.96,5.67,18.61,240.84,0.0059,-0.18,PASS,21.8,54.8,91483,91481,198.5,50.89
