case_id,scenario,mlog_shard,batch_size,txn_mode,rate,tps,rows_s,avg_lat_ms,p99_lat_ms,max_lat_ms,cv,overhead_pct,status,tidb_cpu_pct,tikv_cpu_pct,prewrite_per_s,commit_per_s,pessimistic_lock_per_s,disk_mb_per_s,disk_kb_per_row
1,baseline,-,1,optimistic,18000,18003.17,18003.17,2.91,4.82,417.04,0.0024,,PASS,30.1,20.9,34894,33800,0,166.2,9.45
2,index,-,1,optimistic,18000,18000.51,18000.51,3.29,4.82,86.19,0.0027,-0.01,PASS,35.5,33.6,49809,48786,1,305.5,17.38
3,mlog,noshard,1,optimistic,18000,17995.12,17995.12,3.06,4.41,49.39,0.0024,-0.04,PASS,34.9,28.6,52882,52877,0,237.8,13.53
