case_id,scenario,mlog_shard,batch_size,txn_mode,rate,tps,rows_s,avg_lat_ms,p99_lat_ms,max_lat_ms,cv,overhead_pct,status,tidb_cpu_pct,tikv_cpu_pct,prewrite_per_s,commit_per_s,disk_mb_per_s,disk_kb_per_row
1,baseline,-,1,optimistic,0,7986.97,7986.97,16.03,24.83,215.02,0.0396,,PASS,41.1,72.3,175185,175180,486.6,62.39
2,mlog,shard,1,optimistic,0,7260.41,7260.41,17.63,28.16,652.54,0.0488,-9.10,PASS,38.6,73.1,166202,166197,523.8,73.99
3,mlog,noshard,1,optimistic,0,7524.05,7524.05,17.01,27.17,512.49,0.0499,-5.80,PASS,39.8,73.6,172517,172513,536.1,72.97
4,baseline,-,10,optimistic,0,1104.68,11046.80,115.86,179.94,520.00,0.0289,,PASS,13.2,52.2,38069,38067,683.5,63.35
5,mlog,shard,10,optimistic,0,1072.56,10725.60,119.33,176.73,327.54,0.0261,-2.91,PASS,13.1,54.6,37127,37128,723.1,69.03
6,baseline,-,1,pessimistic,0,7599.00,7599.00,16.84,26.20,498.09,0.0475,,PASS,41.1,72.9,166626,166621,540.4,72.82
7,mlog,shard,1,pessimistic,0,7211.60,7211.60,17.75,28.16,453.34,0.0471,-5.10,PASS,41.4,73.3,165389,165385,537.1,76.26
8,baseline,-,1,optimistic,6500,6501.01,6501.01,8.14,47.47,449.31,0.0037,,PASS,36.6,71.1,142558,142556,442.5,69.70
9,mlog,shard,1,optimistic,6500,6504.42,6504.42,10.44,63.32,571.05,0.0041,0.05,PASS,37.4,73.1,149096,149091,466.6,73.45
