case_id,scenario,mlog_shard,batch_size,txn_mode,rate,tps,rows_s,avg_lat_ms,p99_lat_ms,max_lat_ms,cv,overhead_pct,status,tidb_cpu_pct,tikv_cpu_pct,prewrite_per_s,commit_per_s,pessimistic_lock_per_s,disk_mb_per_s,disk_kb_per_row
1,baseline,-,1,pessimistic,18000,18002.56,18002.56,3.25,4.49,490.66,0.0024,,PASS,35.8,26.3,34893,33800,0,168.3,9.57
2,index,-,1,pessimistic,18000,17998.61,17998.61,3.86,5.67,479.14,0.0022,-0.02,PASS,41.7,39.4,50142,49385,0,294.1,16.73
3,mlog,noshard,1,pessimistic,18000,17994.12,17994.12,3.82,5.88,491.28,0.0027,-0.05,PASS,44.4,38.4,52861,52858,0,241.0,13.71
