case_id,scenario,mlog_shard,batch_size,txn_mode,rate,tps,rows_s,avg_lat_ms,p99_lat_ms,max_lat_ms,cv,overhead_pct,status,tidb_cpu_pct,tikv_cpu_pct,prewrite_per_s,commit_per_s,pessimistic_lock_per_s,disk_mb_per_s,disk_kb_per_row
1,baseline,-,1,pessimistic,18000,18002.67,18002.67,3.35,5.00,72.60,0.0020,,PASS,34.5,25.5,34919,33863,34914,115.1,6.55
2,index,-,1,pessimistic,18000,18001.71,18001.71,3.84,5.57,469.66,0.0022,-0.01,PASS,40.0,37.8,49921,48979,35056,194.8,11.08
3,mlog,noshard,1,pessimistic,18000,17999.20,17999.20,3.65,5.28,75.24,0.0023,-0.02,PASS,43.5,37.4,52864,52860,52847,160.9,9.15
